row_index,included_runs,consistency_rate
617,84,1.0
618,85,1.0
619,80,1.0
620,80,1.0
621,89,1.0
622,84,0.7619047619047619
623,81,1.0
624,86,1.0
625,91,1.0
626,92,1.0
627,82,1.0
628,94,0.7978723404255319
629,88,1.0
630,80,0.925
631,83,1.0
632,75,1.0
633,81,1.0
634,89,0.8764044943820225
635,91,1.0
636,77,1.0
637,85,1.0
638,86,1.0
639,84,1.0
640,91,0.9230769230769231
641,84,1.0
642,86,1.0
643,85,1.0
644,81,0.9506172839506173
645,89,1.0
646,84,0.8452380952380952
647,83,0.7590361445783133
648,83,1.0
649,95,0.8631578947368421
650,81,1.0
651,95,0.8105263157894737
652,87,1.0
653,75,0.7466666666666667
654,83,1.0
655,89,1.0
656,79,0.9113924050632911
657,94,1.0
658,92,1.0
659,83,1.0
660,90,1.0
661,88,1.0
662,88,1.0
663,78,0.8205128205128205
664,80,1.0
665,78,1.0
666,81,1.0
667,85,1.0
668,84,1.0
669,85,1.0
670,84,1.0
671,81,0.9135802469135802
672,80,1.0
673,82,1.0
674,78,0.8846153846153846
675,89,1.0
676,82,1.0
677,88,1.0
678,86,1.0
679,86,1.0
680,80,1.0
681,83,1.0
682,85,1.0
683,79,0.9240506329113924
684,81,1.0
685,79,1.0
686,91,1.0
687,83,1.0
688,83,1.0
689,84,1.0
690,81,1.0
691,84,1.0
692,79,1.0
693,84,0.8095238095238095
694,90,1.0
695,81,1.0
696,92,0.9239130434782609
697,84,1.0
698,83,1.0
699,81,1.0
700,85,1.0
701,90,0.9
702,85,1.0
703,88,1.0
704,83,1.0
705,81,0.7777777777777778
706,80,1.0
707,83,1.0
708,87,1.0
709,83,1.0
710,88,1.0
711,90,1.0
712,77,1.0
713,81,0.8148148148148148
714,87,1.0
715,78,1.0
716,89,1.0
717,89,1.0
718,84,0.5595238095238095
719,87,1.0
720,84,1.0
721,81,1.0
722,89,0.7865168539325843
723,93,1.0
724,87,1.0
725,80,1.0
726,75,1.0
727,76,1.0
728,83,1.0
729,86,0.9069767441860465
730,93,1.0
731,84,1.0
732,81,1.0
733,87,1.0
734,92,0.8260869565217391
735,88,1.0
736,82,1.0
737,79,1.0
738,82,1.0
739,82,1.0
740,79,1.0
741,87,1.0
742,79,1.0
743,83,0.8795180722891566
744,92,1.0
745,82,1.0
746,80,1.0
747,76,1.0
748,79,1.0
749,91,1.0
750,77,1.0
751,95,1.0
752,85,1.0
753,91,1.0
754,86,1.0
755,83,1.0
756,81,1.0
757,89,0.8202247191011236
758,88,1.0
759,82,1.0
760,76,1.0
761,88,1.0
762,86,1.0
763,92,1.0
764,82,1.0
765,83,1.0
766,86,1.0
767,83,1.0
768,88,1.0
769,91,1.0
770,83,1.0
771,86,0.7790697674418605
772,84,0.7619047619047619
773,93,1.0
774,80,1.0
775,89,1.0
776,82,1.0
777,85,1.0
778,90,0.7777777777777778
779,88,0.7840909090909091
780,85,1.0
781,91,1.0
782,80,1.0
783,86,1.0
784,76,1.0
785,77,1.0
786,85,1.0
787,81,1.0
788,80,0.925
789,80,1.0
790,78,0.9230769230769231
791,78,1.0
792,79,1.0
793,82,1.0
794,80,1.0
795,87,1.0
796,93,1.0
797,83,1.0
798,84,1.0
799,85,1.0
800,86,1.0
801,88,1.0
802,90,1.0
803,85,1.0
804,74,1.0
805,87,1.0
806,87,1.0
807,89,1.0
808,91,0.6043956043956044
809,93,1.0
810,78,1.0
811,89,1.0
812,79,1.0
813,82,1.0
814,84,1.0
815,82,1.0
816,83,1.0
817,81,0.9506172839506173
818,79,0.8481012658227848
819,74,1.0
820,90,1.0
821,74,1.0
822,81,0.7654320987654321
823,91,1.0
824,84,1.0
825,80,1.0
826,86,1.0
827,80,1.0
828,79,1.0
829,86,1.0
830,87,1.0
831,79,0.8481012658227848
832,96,1.0
833,80,1.0
834,75,1.0
835,85,1.0
836,76,1.0
837,88,0.9318181818181818
838,82,1.0
839,80,1.0
840,85,1.0
841,79,1.0
842,85,1.0
843,81,1.0
844,77,1.0
845,85,1.0
846,86,1.0
847,98,1.0
848,78,1.0
849,89,1.0
850,89,1.0
851,79,1.0
852,89,0.797752808988764
853,84,1.0
854,85,1.0
855,75,1.0
856,86,1.0
857,78,1.0
858,80,1.0
859,75,1.0
860,85,0.9058823529411765
861,83,1.0
862,77,1.0
863,93,1.0
864,84,1.0
865,85,1.0
866,88,1.0
867,81,1.0
868,75,1.0
869,84,1.0
870,78,1.0
871,81,1.0
872,88,0.9204545454545454
873,84,1.0
874,89,0.9325842696629213
875,78,1.0
876,83,1.0
877,80,0.9125
878,81,1.0
879,82,1.0
