respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
221,1,0,1,0,2,4.461538,4,4.300000,4,4,4,3
222,1,0,1,0,2,3.615385,4.100000,4.300000,4.750000,4,4,3
223,1,0,1,0,1,4.307692,4.400000,4.100000,4,4,4,3
224,1,1,0,0,1,2.923077,2.500000,2.200000,2.500000,4,4,3
225,1,0,1,0,1,4.153846,4.100000,4,3.500000,4,4,2
226,1,0,1,0,2,2.307692,2.200000,1.900000,1.750000,3,3,3
227,1,0,1,0,1,4.230769,4.300000,2.400000,4,4,3,3
228,2,0,1,0,2,3.461538,1.800000,4.300000,4.500000,3,4,3
229,1,0,0,0,2,3.538462,4.100000,1.900000,3.750000,4,4,3
230,2,0,1,0,1,3.538462,3.900000,4.100000,4.750000,4,4,3
231,2,1,1,0,2,4,4,4.100000,4.750000,4,4,3
232,1,1,1,0,2,4.538462,4.400000,3.900000,3.750000,4,4,2
233,2,0,1,0,1,3.384615,4.300000,3.900000,2,4,4,3
234,1,1,1,0,2,3.461538,4.300000,4.200000,5,3,4,3
235,1,0,1,0,2,3.769231,4,4.100000,3.500000,3,4,3
236,2,0,1,0,2,3.692308,2.100000,2.200000,2.250000,4,3,3
237,1,0,1,0,1,3.923077,4.300000,4.500000,4,4,4,3
238,2,0,1,0,1,4.538462,3.800000,4.300000,4.250000,4,4,2
239,1,1,1,0,1,4.461538,4,4.200000,4.250000,4,3,3
240,1,0,1,0,2,3.538462,4,4.100000,5,4,3,2
241,1,1,1,0,1,3.692308,2,4.100000,4,4,4,3
242,1,0,1,0,2,3.615385,4.300000,4.100000,2.250000,3,4,3
243,1,0,1,0,1,4,3.900000,4.300000,4.500000,4,4,3
244,1,0,1,0,2,2.307692,3.900000,4,2,4,3,2
245,1,1,1,0,2,4.384615,4.300000,4.500000,4.250000,3,4,3
246,1,0,1,0,1,4.076923,4.100000,4.200000,4,4,4,3
247,2,1,1,0,1,4.230769,4.100000,4.100000,4.250000,4,4,2
248,1,0,1,0,2,3.615385,4.100000,3.900000,3.500000,4,4,3
249,1,1,1,0,1,3.538462,4.600000,1.600000,1.750000,4,4,3
250,2,0,1,0,2,4.153846,4.100000,3.800000,4.250000,4,3,2
251,2,1,1,0,2,2.769231,2.600000,2.400000,1.250000,3,4,2
252,1,0,1,0,1,2.846154,2,2.200000,1,4,4,2
253,1,0,1,0,1,3.538462,4.100000,3.900000,4.500000,4,4,2
254,1,0,1,0,1,4.615385,4.300000,4.600000,4.250000,4,4,3
255,1,0,1,0,2,4.307692,4.300000,4.200000,4.250000,4,3,3
256,1,0,1,0,1,4.153846,4,4.500000,4,4,4,3
257,1,1,1,0,1,3.461538,4.200000,2.400000,4,4,4,2
258,1,0,1,0,2,4.307692,4,4.300000,3.500000,4,4,3
259,2,1,1,0,1,4.461538,2.100000,4.100000,3.750000,4,4,3
260,1,0,1,0,1,4.538462,3.800000,2,4,4,4,3
261,1,0,1,0,2,3.923077,4.200000,4.300000,3.750000,4,4,3
262,1,1,1,0,1,4.230769,4,3.900000,4.250000,4,4,3
263,1,1,1,0,2,4.384615,4.800000,1.900000,2.250000,4,4,3
264,1,0,1,0,1,4.153846,4.600000,3.800000,4.500000,4,3,3
265,1,0,1,0,2,3.769231,4.300000,2.500000,4.250000,4,4,3
266,1,1,1,0,2,3.692308,3.800000,4.300000,4,4,3,3
267,2,0,1,0,1,4.307692,4.100000,4,3.750000,4,4,3
268,1,0,1,0,1,3.692308,4.500000,2.100000,4.750000,4,4,3
269,1,0,1,0,2,4.076923,2.400000,2.100000,4.500000,3,4,3
270,2,0,1,0,1,3.538462,1.800000,4.200000,3.750000,4,3,2
271,1,1,1,0,1,4.230769,4.400000,2.400000,3.500000,4,4,3
272,1,0,1,0,1,3.846154,2.100000,4.100000,4,4,4,3
273,1,1,1,0,2,3.692308,4.200000,4.100000,3.750000,4,4,3
274,1,1,1,0,2,3.769231,3.900000,4.500000,4,3,3,3
275,2,0,1,0,2,3.769231,4,4.100000,4.500000,4,4,3
276,2,0,1,0,2,3.846154,4,3.600000,4.500000,3,3,3
277,1,1,1,0,1,4.230769,4,3.500000,4,4,4,2
278,1,0,1,0,2,4.076923,1.700000,4.300000,4.250000,4,4,3
279,1,0,1,0,1,4.461538,4,4.100000,4,4,4,2
280,2,1,1,0,2,3,2.200000,1.800000,2.750000,3,4,2
281,1,0,1,0,2,3.769231,4,4,4.500000,3,3,3
282,1,0,1,0,2,4.461538,3.800000,4.300000,4.250000,3,4,2
283,2,0,1,0,2,3.538462,4,4.200000,3.750000,4,4,3
284,1,1,1,0,2,4.153846,4.400000,4,3.500000,3,4,3
285,1,0,1,0,1,4.153846,2.500000,4.100000,4,4,4,2
286,2,0,1,0,2,4.076923,4.400000,2.200000,4.500000,4,4,3
287,1,1,1,0,2,4.461538,4.200000,3.800000,4,3,3,3
288,1,0,1,0,1,2.230769,1.900000,2.200000,1.500000,4,4,2
289,1,1,1,0,1,4.230769,2.300000,4.200000,4.750000,4,4,3
290,1,1,1,0,1,3.923077,4.400000,4.100000,4.250000,4,4,2
291,1,1,1,0,2,3.769231,4.700000,4.600000,4.500000,4,3,3
