feature_set,preprocess,k,layer_id,layer_name,variable,variable_label,test,statistic,df,p_value,effect_size,cluster_stats,is_sig_with_effect,score_included
enhanced,zscore,3,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,1.0788270917608336,2,0.5830901077187141,0.07272116677327745,C1=0.657|C2=0.571|C3=0.561,0,1
enhanced,zscore,3,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.1899730430408479,2,0.9093851915153587,0.030516231862125112,C1=0.429|C2=0.429|C3=0.394,0,1
enhanced,zscore,3,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,0.34493087557603686,2,0.841587375430392,0.041119796027859014,C1=0.371|C2=0.357|C3=0.323,0,1
enhanced,zscore,3,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,40.33595233848583,2,1.7424456419066639e-09,0.19072613103724295,C1=3.514|C2=1.929|C3=2.032,1,0
enhanced,zscore,3,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,26.715776158056293,2,1.580312289255802e-06,0.12296406048784225,C1=3.171|C2=2.571|C3=2.103,1,0
enhanced,zscore,4,all,全样本对照,C090,到访意愿,kruskal_epsilon2,138.33258666162806,3,8.649060279003274e-30,0.1579143368280374,C1=2.353|C2=3.627|C3=2.141|C4=2.055,1,1
enhanced,zscore,4,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,114.97118996972483,3,9.33871695570036e-25,0.13065483076980727,C1=2.191|C2=3.529|C3=2.205|C4=2.083,1,1
enhanced,zscore,4,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,5.085998402093006,3,0.16560714774284993,0.08798434897915741,C1=0.736|C2=0.701|C3=0.797|C4=0.667,0,1
enhanced,zscore,4,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,4.6524801717410185,3,0.19908602591234603,0.08415105801958676,C1=0.340|C2=0.377|C3=0.312|C4=0.430,0,1
enhanced,zscore,4,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,8.583041073566834,3,0.035380336888746616,0.1142978103792184,C1=0.623|C2=0.597|C3=0.688|C4=0.518,1,1
enhanced,zscore,4,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,8.153682708710987,3,0.042940062393615995,0.11140231579528538,C1=0.679|C2=0.649|C3=0.766|C4=0.594,1,1
enhanced,zscore,4,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,96.80430914552682,3,7.559925982846744e-21,0.14365131568993386,C1=2.283|C2=3.571|C3=2.188|C4=2.065,1,0
enhanced,zscore,4,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,86.21969755248564,3,1.4201234456941543e-18,0.12744210957501628,C1=2.151|C2=3.558|C3=2.125|C4=2.076,1,0
enhanced,zscore,4,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,5.7817039247705395,3,0.12272751558265017,0.16834989131489791,C1=0.867|C2=0.600|C3=0.571|C4=0.547,0,1
enhanced,zscore,4,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,4.8975381276061,3,0.17945550396256235,0.15494366667020104,C1=0.667|C2=0.360|C3=0.429|C4=0.380,0,1
