row_index,included_runs,consistency_rate
646,94,0.46808510638297873
647,88,0.7840909090909091
648,86,1.0
649,90,1.0
650,79,1.0
651,91,1.0
652,81,1.0
653,83,1.0
654,91,0.7472527472527473
655,70,1.0
656,91,1.0
657,89,1.0
658,79,1.0
659,75,1.0
660,82,0.8170731707317073
661,89,1.0
662,82,1.0
663,86,1.0
664,85,1.0
665,94,1.0
666,80,1.0
667,82,1.0
668,81,1.0
669,73,1.0
670,87,1.0
671,83,1.0
672,85,1.0
673,84,1.0
674,88,1.0
675,84,0.8690476190476191
676,82,1.0
677,79,1.0
678,82,1.0
679,92,1.0
680,90,1.0
681,86,1.0
682,89,1.0
683,79,1.0
684,83,1.0
685,82,1.0
686,82,1.0
687,84,1.0
688,82,1.0
689,85,1.0
690,91,1.0
691,90,1.0
692,83,1.0
693,81,1.0
694,87,1.0
695,81,1.0
696,84,1.0
697,67,1.0
698,87,0.8390804597701149
699,85,1.0
700,79,1.0
701,89,1.0
702,84,1.0
703,88,1.0
704,89,1.0
705,81,1.0
706,77,1.0
707,77,1.0
708,85,1.0
709,83,1.0
710,84,1.0
711,92,1.0
712,85,1.0
713,85,1.0
714,86,1.0
715,95,1.0
716,88,1.0
717,78,1.0
718,80,0.3875
719,85,1.0
720,86,1.0
721,83,1.0
722,81,1.0
723,83,1.0
724,89,1.0
725,80,1.0
726,80,1.0
727,87,0.9310344827586207
728,79,1.0
729,70,1.0
730,82,1.0
731,80,1.0
732,86,1.0
733,82,1.0
734,83,1.0
735,87,1.0
736,86,1.0
737,82,1.0
738,86,0.8255813953488372
739,80,1.0
740,87,1.0
741,79,1.0
742,83,1.0
743,86,1.0
744,85,1.0
745,85,1.0
746,85,0.9882352941176471
747,75,0.84
748,79,1.0
749,85,1.0
750,86,1.0
751,82,1.0
752,88,1.0
753,74,1.0
754,87,1.0
755,86,1.0
756,85,1.0
757,87,1.0
758,95,1.0
759,82,0.8658536585365854
760,96,0.84375
761,87,0.8275862068965517
762,84,1.0
763,90,1.0
764,85,1.0
765,75,1.0
766,80,0.8625
767,90,1.0
768,91,1.0
769,87,1.0
770,89,1.0
771,85,1.0
772,90,0.9666666666666667
773,83,1.0
774,86,1.0
775,84,1.0
776,69,1.0
777,78,1.0
778,85,0.8588235294117647
779,88,0.9204545454545454
780,88,1.0
781,85,0.47058823529411764
782,92,1.0
783,81,1.0
784,86,1.0
785,87,0.9310344827586207
786,84,0.8333333333333334
787,82,1.0
788,77,1.0
789,86,1.0
790,90,0.8555555555555555
791,81,1.0
792,94,1.0
793,86,1.0
794,83,1.0
