respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,invalid_union_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
225,1,0,1,0,0,2,3.692308,4.500000,2.100000,4.750000,4,4,3
226,1,1,1,0,0,1,1.846154,1.600000,1.600000,1.250000,3,3,2
227,2,1,1,0,0,1,4.153846,4.200000,4,4.500000,3,4,3
228,1,1,1,0,0,2,4.153846,4.600000,3.600000,3.750000,4,4,2
229,1,0,1,0,0,2,4.076923,4.100000,4.200000,4,4,4,3
230,1,0,1,0,0,2,3.769231,4.100000,4,4.250000,4,4,2
231,1,0,1,0,0,1,2.307692,1.900000,2,1.500000,4,3,2
232,1,1,1,0,0,2,3.846154,4.300000,4.200000,3.500000,4,3,2
233,2,1,1,0,0,2,3.846154,3.800000,4.300000,4,4,4,3
234,1,0,1,0,0,1,3.538462,4.100000,4,4.750000,4,4,2
235,1,0,1,0,0,2,4.384615,2.200000,4.200000,4.250000,4,3,3
236,2,0,1,0,0,2,4.307692,3.800000,2.500000,4,4,4,3
237,1,0,1,0,0,2,4.538462,4.800000,3.400000,4,4,4,3
238,2,1,1,0,0,2,3.923077,3.900000,4.300000,4,4,4,3
239,1,0,1,0,0,2,4.153846,4,3.900000,4.250000,4,4,3
240,1,1,1,0,0,2,4.153846,4,4.300000,3.750000,4,3,2
241,1,1,1,0,0,2,3.538462,4.500000,4.300000,4.250000,4,4,3
242,1,1,1,0,0,1,4.076923,4.100000,4,2.750000,4,4,3
243,1,0,0,0,0,2,2.846154,2.200000,2.200000,4.500000,4,4,2
244,1,0,1,0,0,2,4.153846,4,4.100000,4.250000,4,4,3
245,1,0,1,0,0,2,4.307692,4,4.200000,4.500000,4,4,2
246,2,0,1,0,0,2,4.230769,4.300000,4,4.250000,4,3,3
247,1,1,1,0,0,2,4.230769,4.400000,2.400000,3.500000,4,4,3
248,2,0,0,0,0,2,3.615385,3.800000,4.600000,4.250000,4,4,3
249,2,0,1,0,0,2,2.769231,2.500000,2.100000,2,4,4,3
250,1,0,1,0,0,1,3.153846,4,4.100000,2.250000,4,4,2
251,2,1,1,0,0,2,2.153846,1.100000,1.300000,1.500000,4,3,3
252,1,1,1,0,0,2,4.461538,4.700000,4.400000,4.500000,4,4,3
253,1,0,1,0,0,2,2.307692,2.100000,2.400000,2.750000,4,4,2
254,1,1,0,0,0,2,3.692308,4.300000,4.100000,3.750000,4,4,3
255,1,0,1,0,0,1,3.769231,4.300000,2.500000,4.250000,4,4,3
256,2,0,1,0,0,1,3.846154,4,3.600000,4.500000,3,3,3
257,1,0,1,0,0,1,3.615385,4.200000,4.100000,4.250000,3,3,2
258,2,1,1,0,0,2,4.461538,2.100000,4.100000,3.750000,4,4,3
259,1,0,1,0,0,2,4.307692,3.700000,4.500000,3.750000,4,4,3
260,1,0,1,0,0,2,2.076923,1.200000,1.500000,1.500000,4,3,3
261,1,0,1,0,0,2,4.307692,4.300000,4.400000,3.750000,4,4,2
262,1,0,1,0,0,2,4.307692,3.800000,4.200000,4.250000,4,4,2
263,1,0,1,0,0,1,4,3.900000,4.100000,2.500000,3,4,3
264,2,0,0,0,0,2,1.923077,1.400000,2.500000,1.250000,4,4,2
265,1,1,1,0,0,2,4.230769,4,3.500000,4,4,4,2
266,1,0,1,0,0,2,3.846154,3.900000,4.500000,4,4,4,2
267,1,0,1,0,0,1,4.230769,1.800000,2.700000,4.500000,4,4,3
268,2,0,1,0,0,2,2.846154,2.100000,1.800000,5,4,4,3
269,1,0,1,0,0,1,3.461538,4.300000,4.200000,4.500000,3,4,2
270,1,0,1,0,0,2,3.538462,4.400000,4.200000,4.250000,4,3,2
271,1,0,0,0,0,2,2.846154,2.300000,1.900000,3,4,4,3
272,1,1,1,0,0,2,3.538462,4.600000,1.600000,1.750000,4,4,3
273,1,1,1,0,0,2,4.307692,2.100000,2.100000,4.500000,4,4,3
274,1,1,1,0,0,2,3.923077,4.300000,4.100000,4,4,3,3
275,1,0,1,0,0,2,4.076923,4.100000,4.200000,4.750000,4,3,3
276,2,0,1,0,0,2,4,4,4.300000,4.250000,4,4,3
277,1,1,1,0,0,1,4.307692,3.800000,4,4.500000,3,4,3
278,1,0,1,0,0,2,4.307692,4,4.100000,4.250000,3,4,3
279,1,0,1,0,0,2,4.230769,4.100000,4.100000,4.750000,4,4,3
280,1,0,1,0,0,2,4.230769,2.400000,4.100000,2.250000,4,3,3
281,1,0,1,0,0,1,4.384615,1.900000,4.200000,3.750000,3,3,2
282,1,1,1,0,0,2,3.461538,4.200000,2.400000,4,4,4,2
283,1,1,1,0,0,2,3.769231,4,4.400000,4,4,4,3
284,1,1,1,0,0,2,4.230769,4,4.100000,4.500000,3,4,3
285,1,0,0,0,0,1,3.923077,2.100000,4.500000,4,3,3,3
286,1,0,1,0,0,2,4.076923,4.300000,4.100000,4.750000,4,3,3
287,1,1,1,0,0,1,3.769231,2.500000,4.200000,4.500000,3,3,3
288,1,0,1,0,0,1,4.230769,3.700000,4.200000,4,3,4,3
289,1,1,1,0,0,2,3.923077,4.100000,4.100000,3.750000,4,4,2
290,1,0,1,0,0,2,3.153846,1.600000,2,4,4,4,3
291,2,0,1,0,0,2,4.230769,4.400000,4.400000,4.250000,4,4,3
292,1,0,1,0,0,1,4.153846,2.400000,4,4.250000,4,3,2
293,1,1,1,0,0,2,3.538462,4,3.900000,3.750000,4,4,2
294,2,0,1,0,0,1,4.230769,3.700000,4.100000,4,3,3,3
295,1,1,1,0,0,2,3.692308,2,4.100000,4,4,4,3
296,2,1,1,0,0,1,4.307692,4.200000,4.300000,4,4,4,2
297,1,0,1,0,0,1,4.461538,4.500000,5,4.750000,3,4,2
298,1,1,1,0,0,1,4.153846,4.300000,4.300000,4.250000,4,3,3
299,2,0,1,0,0,1,3.461538,1.800000,4.300000,4.500000,3,4,3
300,1,0,1,0,0,2,4.153846,2.200000,4,4.500000,4,3,3
301,1,0,1,0,0,2,3.538462,4.500000,4.400000,3.500000,4,3,3
302,1,0,1,0,0,1,3.538462,3.900000,4,2.750000,3,4,3
303,1,0,1,0,0,2,4.230769,4.300000,3.700000,4,4,4,3
304,2,0,1,0,0,2,3.538462,4.100000,4.200000,3.750000,4,4,2
305,2,1,1,0,0,2,4.153846,4.300000,3.900000,4,4,4,2
306,2,0,1,0,0,1,4.153846,4.100000,4.100000,4.750000,3,4,2
307,1,0,1,0,0,2,4.153846,3.700000,4,4,4,4,2
308,2,1,1,0,0,1,4.153846,3.900000,4.100000,3.750000,4,3,2
309,2,0,1,0,0,2,3.307692,4.400000,3.900000,4,4,4,3
310,1,0,1,0,0,2,2.769231,1.900000,2.500000,2,4,3,3
311,2,1,1,0,0,1,4.153846,2.300000,4.600000,3.750000,4,4,2
312,1,1,1,0,0,2,3.769231,4.700000,4.600000,4.500000,4,3,3
313,1,0,1,0,0,1,4.076923,4.200000,4.200000,4.500000,4,4,3
314,1,0,1,0,0,1,3.615385,4.300000,4.100000,2.250000,3,4,3
315,1,1,1,0,0,1,4.538462,5,4.700000,4.750000,4,4,2
316,1,0,1,0,0,2,2.923077,4.200000,4.100000,3.500000,4,4,2
317,2,1,1,0,0,2,3.384615,4,4.500000,4,4,3,3
318,1,1,1,0,0,2,4,4.200000,3.600000,3.750000,4,4,2
319,1,0,1,0,0,2,4.230769,4.400000,3.800000,4.750000,4,4,3
320,2,0,0,0,0,2,2.538462,2.200000,3.800000,2.500000,4,4,3
